epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.585,1.69754,4.67451,1.8575,0.46838,0.29927,0.31327,0.16583,1.41057,4.25641,1.60899,0.000132249,0.000132249,0.000132249
2,874.116,1.53569,3.26106,1.68665,0.81583,0.55387,0.75307,0.40926,1.46424,3.16667,1.6397,0.000255066,0.000255066,0.000255066
3,5019.38,1.49357,2.70497,1.63324,0.7106,0.70379,0.83699,0.45099,1.57032,3.0018,1.75903,0.000367322,0.000367322,0.000367322
4,38612.9,1.47374,2.37199,1.59196,0.79227,0.87163,0.92995,0.59653,1.24796,2.25609,1.48875,0.00035248,0.00035248,0.00035248
5,39041.1,1.41215,2.09356,1.53467,0.88826,0.8618,0.93993,0.63324,1.15557,1.88385,1.43038,0.00033664,0.00033664,0.00033664
6,44941.6,1.36075,1.86678,1.49286,0.87981,0.9253,0.96676,0.62011,1.23905,1.81687,1.48153,0.0003208,0.0003208,0.0003208
7,45385.3,1.32769,1.70712,1.46627,0.90652,0.95232,0.98044,0.6529,1.16246,1.64694,1.45856,0.00030496,0.00030496,0.00030496
8,45832.9,1.27896,1.59026,1.41254,0.92501,0.94024,0.97547,0.70081,1.05,1.33507,1.36023,0.00028912,0.00028912,0.00028912
9,46488.8,1.24304,1.469,1.40449,0.94794,0.93032,0.97491,0.66949,1.12525,1.41276,1.42213,0.00027328,0.00027328,0.00027328
10,46964.1,1.20945,1.35633,1.38209,0.95772,0.96637,0.9814,0.70473,1.04198,1.15782,1.3584,0.00025744,0.00025744,0.00025744
11,47400,1.20316,1.31579,1.38378,0.9711,0.98077,0.98902,0.72049,1.00527,1.10989,1.32593,0.0002416,0.0002416,0.0002416
12,47903.2,1.14022,1.20169,1.34473,0.96896,0.97076,0.98503,0.71628,1.0497,1.03441,1.34459,0.00022576,0.00022576,0.00022576
13,48581,1.1271,1.13617,1.31957,0.96232,0.98753,0.99139,0.72126,1.04495,0.97672,1.35434,0.00020992,0.00020992,0.00020992
14,49197.8,1.1161,1.11858,1.31248,0.96668,0.98128,0.98867,0.73879,0.97826,0.93894,1.28251,0.00019408,0.00019408,0.00019408
15,49775,1.10181,1.09444,1.30095,0.9722,0.9847,0.98915,0.74954,0.95614,0.85446,1.28163,0.00017824,0.00017824,0.00017824
16,51094,0.98485,0.93238,1.32408,0.96926,0.97629,0.97938,0.73552,0.98208,0.86025,1.29139,0.0001624,0.0001624,0.0001624
17,51577.6,0.94718,0.86513,1.29448,0.96718,0.97948,0.98488,0.72407,0.99374,0.851,1.33602,0.00014656,0.00014656,0.00014656
18,52055.4,0.94474,0.82832,1.29315,0.96811,0.97706,0.98533,0.74043,0.9492,0.80356,1.25996,0.00013072,0.00013072,0.00013072
19,52512.2,0.91213,0.79291,1.26948,0.98576,0.98899,0.98954,0.74284,0.95515,0.74866,1.2655,0.00011488,0.00011488,0.00011488
20,52945,0.8847,0.74563,1.23549,0.98475,0.98534,0.98885,0.75335,0.91702,0.72156,1.24353,9.904e-05,9.904e-05,9.904e-05
21,53369.7,0.85833,0.72198,1.2217,0.97328,0.99271,0.98891,0.76206,0.89899,0.6988,1.23801,8.32e-05,8.32e-05,8.32e-05
22,53809.3,0.82786,0.69476,1.20272,0.98374,0.98657,0.98981,0.76535,0.89563,0.68682,1.23114,6.736e-05,6.736e-05,6.736e-05
23,65160.8,0.8064,0.67273,1.17813,0.98425,0.98568,0.9865,0.76333,0.92279,0.67042,1.26039,5.152e-05,5.152e-05,5.152e-05
24,65575.9,0.79909,0.66208,1.17077,0.98244,0.98964,0.99037,0.76797,0.907,0.66626,1.24261,3.568e-05,3.568e-05,3.568e-05
25,66011.8,0.78068,0.64849,1.16874,0.98528,0.98624,0.98989,0.76783,0.89954,0.65596,1.23574,1.984e-05,1.984e-05,1.984e-05
